2025-03-20 11:26:34.179 +07 | INFO     | Line   10 (task_load_data.py): Starting document loading process into Qdrant...
2025-03-20 11:27:52.220 +07 | INFO     | Line   10 (task_load_data.py): Starting document loading process into Qdrant...
2025-03-20 11:29:11.754 +07 | INFO     | Line   10 (task_load_data.py): Starting document loading process into Qdrant...
2025-03-20 11:29:12.069 +07 | INFO     | Line   27 (qdrant_service.py): Starting document loading process...
2025-03-20 11:29:12.072 +07 | ERROR    | Line   53 (qdrant_service.py): Error loading documents: 'function' object has no attribute 'error'
2025-03-20 11:29:12.072 +07 | ERROR    | Line   21 (task_load_data.py): Failed to load documents: 'function' object has no attribute 'error'
2025-03-20 11:42:36.826 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:42:37.142 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:42:37.143 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:42:38.581 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:42:38.581 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:42:38.581 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:13.892 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:45:14.200 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:45:14.201 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:45:14.643 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:14.643 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:14.643 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:48.351 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:45:48.649 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:45:48.649 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:45:49.869 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:49.869 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:49.869 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:45:55.158 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:45:55.474 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:45:55.474 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:45:55.474 +07 | WARNING  | Line   37 (qdrant_service.py): No documents found for processing.
2025-03-20 11:45:55.474 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Unknown error
2025-03-20 11:46:18.538 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:46:18.847 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:46:18.848 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:46:19.668 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:46:19.668 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:46:19.669 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:46:57.344 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:46:57.633 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:46:57.633 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:46:58.302 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:46:58.303 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:46:58.303 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:47:12.157 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:47:12.528 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:47:12.528 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:47:12.529 +07 | WARNING  | Line   37 (qdrant_service.py): No documents found for processing.
2025-03-20 11:47:12.529 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Unknown error
2025-03-20 11:48:31.112 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:48:31.421 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:48:31.421 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:48:32.279 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:48:32.279 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:48:32.279 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:49:27.917 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:49:28.227 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:49:28.228 +07 | INFO     | Line  118 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:49:28.907 +07 | ERROR    | Line  103 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:49:28.907 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:49:28.907 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:50:08.101 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:50:08.406 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:50:08.406 +07 | INFO     | Line  119 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:50:08.406 +07 | WARNING  | Line   37 (qdrant_service.py): No documents found for processing.
2025-03-20 11:50:08.406 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Unknown error
2025-03-20 11:50:24.283 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:50:24.585 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:50:24.585 +07 | INFO     | Line  119 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:50:25.432 +07 | ERROR    | Line  104 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:50:25.432 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:50:25.432 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:50:52.035 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:50:52.320 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:50:52.320 +07 | INFO     | Line  119 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:50:52.670 +07 | ERROR    | Line  104 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:50:52.670 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:50:52.670 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:51:24.377 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:51:24.681 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:51:24.682 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:51:25.542 +07 | ERROR    | Line  102 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:51:25.542 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:51:25.542 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:51:49.335 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:51:49.636 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:51:49.636 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:51:49.636 +07 | WARNING  | Line   37 (qdrant_service.py): No documents found for processing.
2025-03-20 11:51:49.636 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Unknown error
2025-03-20 11:52:00.150 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:52:00.451 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:52:00.452 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:52:00.871 +07 | ERROR    | Line  102 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:52:00.871 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:52:00.871 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:52:31.698 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:52:31.991 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:52:31.991 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:52:32.410 +07 | ERROR    | Line  102 (embedding.py): Error while embedding texts: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:52:32.410 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:52:32.410 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Error code: 403 - {'error': {'message': 'You are not allowed to generate embeddings from this model', 'type': 'invalid_request_error', 'param': None, 'code': None}}
2025-03-20 11:52:42.014 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:52:42.311 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:52:42.311 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:52:42.312 +07 | WARNING  | Line   37 (qdrant_service.py): No documents found for processing.
2025-03-20 11:52:42.312 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Unknown error
2025-03-20 11:53:28.727 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:53:29.085 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:53:29.085 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
2025-03-20 11:53:29.085 +07 | WARNING  | Line   37 (qdrant_service.py): No documents found for processing.
2025-03-20 11:53:29.085 +07 | ERROR    | Line   21 (task_load_data.py): ❌ Failed to load documents: Unknown error
2025-03-20 11:53:39.060 +07 | INFO     | Line    9 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 11:53:39.401 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 11:53:39.401 +07 | INFO     | Line  117 (embedding.py): No documents provided. Loading from data directory...
